Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
La casa de papel: Parte 5: La teoría de la elegancia,2025-05-05,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: Ciencia ilusionada,2025-05-05,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: Válvulas de escape,2025-05-05,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: Vivir muchas vidas,2025-05-05,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: Tu sitio en el cielo,2025-05-05,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: El espectáculo de la vida,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: ¿Crees en la reencarnación?,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 5: El final del camino,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 4: Plan París,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 4: Lección de anatomía,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
La casa de papel: Parte 4: Tumbar la carpa,2025-05-04,La casa de papel,71446.0,Money Heist,La casa de papel,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","Crime, Drama",38.2391,8.237,18882.0,tv,2017-05-02,0.0
